"","song","artist","lyrics"
"21","Hot To Go!","Chappell Roan","  Five, six Five, six, seven, eight    I could be the one, or your new addiction It's all in my head, but I want non-fiction I don't want the world, but I'll take this city Who can blame a girl? Call me hot, not pretty    Baby, do you like this beat? I made it so you'd dance with me It's like a hundred ninety-nine degrees When you're doing it with me, doing it with me    H-O-T-T-O-G-O Snap and clap and touch your toes Raise your hands, now body roll Dance it out, you're hot to go H-O-T-T-O-G-O Snap and clap and touch your toes Raise your hands, now body roll H-O-T-T-O-G-O   H-O-T-T-O-G-O You can take me hot to go H-O-T-T-O-G-O You can take me hot to go    Well, I woke up alone staring at my cеiling I try not to care, but it hurts my feelings You don't have to stare, comе here, get with it No one's touched me there in a damn hot minute    And baby, don't you like this beat? I made it so you'd sleep with me It's like a hundred ninety-nine degrees When you're doing it with me, doing it with me    H-O-T-T-O-G-O Snap and clap and touch your toes Raise your hands, now body roll Dance it out, you're hot to go H-O-T-T-O-G-O Snap and clap and touch your toes Raise your hands, now body roll H-O-T-T-O-G-O   H-O-T-T-O-G-O You can take me hot to go H-O-T-T-O-G-O You can take me hot to go    What's it take to get your number? What's it take to bring you home? Hurry up, it's time for supper Order up, I'm hot to go What's it take to get your number? Hurry up, it's getting cold Hurry up, it's time for supper Order up, I'm hot to go    H-O-T-T-O-G-O You can take me hot to go (Oh, yeah) H-O-T-T-O-G-O You can take me hot to go (Hot to go) H-O-T-T-O-G-O You can take me hot to go (Oh, yeah) H-O-T-T-O-G-O You can take me hot to go   Whew, it's hot in here Is anyone else hot? Woo, you coming home with me? Okay, that's hot I'll call the cab"
"22","Sailor Song","Gigi Perez","  I saw her in the rightest way Looking like Anne Hathaway Laughing while she hit her pen and coughed, and coughed And then she came up to my knees Begging, ""Baby, would you please Do the things you said you'd do to me, to me?""    Oh, won't you kiss me on the mouth and love me like a sailor? And when you get a taste, can you tell me, what's my flavor? I don't believe in God, but I believe that you're my savior My mom says that she's worried, but I'm covered in this favor And when we're getting dirty, I forget all that is wrong I sleep so I can see you 'cause I hate to wait so long I sleep so I can see you, and I hate to wait so long    She took my fingers to her mouth The kind of thing that makes you proud That nothing else had ever worked out, worked out And lately, I tried other things But nothing can capture the sting Of the venom she's gonna spit out right now    Oh, won't you kiss me on the mouth and love me like a sailor? And when you get a taste, can you tell me, what's my flavor? I don't believe in God, but I believe that you're my savior I know that you've been worried, but you're dripping in my favor And when we're getting dirty, I forget all that is wrong I sleep so I can see you 'cause I hate to wait so long I sleep so I can see you, and I hate to wait so long   And we can run away to the walls inside your house I can be the cat, baby, you can be the mouse And we can laugh off things that we know nothing about We can go forever until you wanna sit it out"
"23","St. Chroma","Tyler, The Creator Featuring Daniel Caesar",NA
"24","Tu Boda","Oscar Maydon & Fuerza Regida","     (Siento un vacío muy frío por dentro, mi amor) (Cuando te fuiste, te robaste mi corazón) (Me quedé loco de tanto pensar y pensar) (Me iré al infierno, pero me tengo que vengar)       Siento un vacío muy frío por dentro, mi amor Cuando te fuiste, te robaste mi corazón Me quedé loco de tanto pensar y pensar Me iré al infierno, pero me tengo que vengar Quiero manchar el vestido blanco de rojo Sé que el altar dе Dios es santo, pero, mi amor Cien invitados y todos tеndrán que mirar Que nuestro amor va al más allá    Quiero que bailemos juntos En el cielo, el infierno, pero sin ese puto El que te ha apartado todo este tiempo de mí Al inconsciente que hizo que no fueras pa' mí Danza, una danza eterna Pero me voy contigo, pero nos vamos juntos Llevo tres noches malditas sin poder dormir Solo pensando y pensando que eres para mí (Que eres para mí)   ¡Uh! Me despido de ti para siempre, chiquitita Ahí le va para todos los que traen el corazón roto Uh Y su compa Óscar Maydon Fuer-za Regida    Camino lento, me duele la respiración A mil por hora latidos de mi corazón En el pasillo me vienen recuerdos, flashbacks Prometimos que los dos iríamos al altar Te quitó el velo, aceptaste y luego te besóYa has consumado los votos sagrados, mi amor Un frío muy intenso se llevó todo mi ser Ya no hay razón pa' estar de pie    Quiero que bailemos juntos En el cielo, el infierno, pero sin ese puto Al que te ha apartado todo este tiempo de mí Al inconsciente que hizo que no fueras pa' mí Danza, una danza eterna Pero me voy contigo, pero nos vamos juntos Llevo tres noches malditas sin poder dormir Solo pensando y pensando que eras para mí   Miro cómo brillan tus ojos Me resigno perderte y esta vez para siempre Me arrepentí de quitarte tu felicidad Te dejaré una familia puedas comenzar Me despido, me despido pa' siempre Y te deseo suerte, y bendigo mi muerte Se la dedico al amor que nunca funcionó A la persona que roto tiene el corazón   "
"25","Wildflower","Billie Eilish","  Things fall apart And time breaks your heart I wasn't there, but I know She was your girl You showed her the world But fell out of love and you both let go    She was cryin’ on my shoulder All I could do was hold her Only made us closer until July Now, I know that you love me You don't need to remind me I should put it all behind me, shouldn't I?    But I see her in the back of my mind All the time Like a fever, like I’m burning alive Like a sign Did I cross the line? (Mm) Hmm    Well, good things don't last (Good things don't last) And life moves so fast (Life moves so fast) I'd never ask who was better (I'd never ask who was better) 'Cause she couldn't be (Couldn't) More different from me (Different) Happy and free in leather (Happy)   And I know that you love me (You love me) You don’t need to remind me (Remind me) Wanna put it all behind me, but baby    I see her in the back of my mind (Back of my mind) All the time (All the time) Feels like a fever (Like a fever), like I’m burning alive (Burning alive) Like a sign Did I cross the line?    You say no one knows you so well (Oh) But every time you touch me, I just wonder how she felt Valentine's Day, cryin’ in the hotel I know you didn't mean to hurt me, so I kept it to myself    And I wonder Do you see her in the back of your mind in my eyes?    You say no one knows you so well But every time you touch me, I just wonder how she felt Valentine's Day, cryin' in the hotel I know you didn’t mean to hurt me, so I kept it to myself"
"26","Whatchu Kno About Me","GloRilla & Sexyy Red","  GloRilla It's Glo the motherfuckin’ P, y'all know what the fuck goin' on (AceC, turn that heat up, nigga) (Ugh, ugh, ugh, ugh) On gang, gang (Ugh, ugh, ugh, ugh) On gang, gang    Bitch, I’m from Memphis, what you know about me? Big G-L-O in that GLE (Ugh, ugh) Fifty thousand, new Chanel shopping spree And every time I pop it out, you know I A-T-E (Ayy, ayy) I'm that bitch, ho, get like me You know it's YWR, big CMG (Wipe me down) Small niggas, tall niggas, long paper, no small figures Fifty bitches, all pretty, and we all litty (On gang)    I'm wearin' booty shorts (Bow), 'cause my paper long (On God) It's a Friday night (What's up?), my nigga ain’t at home (Let’s go) I pour my bitches shots (Uh-huh), 'cause I don’t drink alone (Hell nah) I'm outside again (Let's get it), 'cause, bitch, I hate at home (The fuck?)    It’s giving hair, face, ass, titties (Woo, aye, ugh, yeah) Hair, face, ass, titties (Woo, aye, ugh, yeah) It's giving hair, face, ass, titties (Woo, aye, ugh, yeah) Hair, face, ass, titties (Woo, aye, ugh, yeah) (On God)   S-S-E-X-Y-Y-R-E-D (Uh) You play with me, I put a pole in your teeth (Grrr, bow) I-I-I'm with my peoples, and we comin' fifty deep Ye ain't know I was a hitta 'cause I'm always lookin' fleek (Yeah, yeah, ah, ah) C-C-Cash out new ball, AMG Outside bubble gum with some bloody red seat (Skrrt, skrrt, skrrt, skrrt, skrrt, skrrt), vroom I-I like ratchet bitches twerkin' to the beat (Ah, uh, yeah) If you hear this song playin', shake that ass for Glo and me (Bow, bow, bow, bow)    I'm wearin' booty shorts (Bow), 'cause my paper long (On God) It's a Friday night (What's up?), my nigga ain't at home (Let's go) I pour my bitches shots (Uh-huh), 'cause I don't drink alone (Hell nah) I'm outside again (Let's get it), 'cause, bitch, I hate at home (The fuck?)    It's giving hair, face, ass, titties (Woo, aye, ugh, yeah) Hair, face, ass, titties (Woo, aye, ugh, yeah) It's giving hair, face, ass, titties (Woo, aye, ugh, yeah) Hair, face, ass, titties (Woo, aye, ugh, yeah)    Coochie drive 'em crazy, CDC He a dog for the pussy, and you know I got the treat Private entry through the club, fuck a fee Bitch play with gang tonight, her face goin' on a tee (Buh, buh) Bad bitch, you know I'm thick as Coachella You won't never catch me slippin', I ain't no fuckin' Cinderella (Stupid bitch) Glo the P, and the P stand for poppin' Neck on faucet, do my dance on them bitches since they watchin' (On the gang)   I'm wearin' booty shorts (Bow), 'cause my paper long (On God) It's a Friday night (What's up?), my nigga ain't at home (Let's go) I pour my bitches shots (Uh-huh), 'cause I don't drink alone (Hell nah) I'm outside again (Let's get it), 'cause, bitch, I hate at home (The fuck?)    It's giving hair, face, ass, titties (Woo, aye, ugh, yeah) Hair, face, ass, titties (Woo, aye, ugh, yeah) It's giving hair, face, ass, titties (Woo, aye, ugh, yeah) Hair, face, ass, titties (Woo, aye, ugh, yeah)"
"27","I Love You, I'm Sorry","Gracie Abrams","  Two Augusts ago I told the truth, oh, but you didn't like it, you went home You're in your Benz, I'm by the gate Now you go alone Charm all the people you train for, you mean well but aim low And I'll make it known like I'm getting paid    That's just the way life goes I like to slam doors closed Trust me, I know it's always about me I love you, I'm sorry    Two summers from now We'll have been talking, but not all that often, we're cool now I'll be on a boat, you're on a plane Going somewhere, same And I'll have a drink Wistfully lean out my window and watch the sun set on the lake I might not feel real, but it's okay, mm    'Cause that's just the way life goes I push my luck, it shows Thankful you don't send someone to kill me I love you, I'm sorry   You were the best but you were the worst As sick as it sounds, I loved you first I was a dick, it is what it is A habit to kick, the age-old curse I tend to laugh whenever I'm sad I stare at the crash, it actually works Making amends, this shit never ends I'm wrong again, wrong again    The way life goes Joyriding down our road Lay on the horn to prove that it haunts me (I'm wrong again, wrong again) I love you, I'm sorry The way life goes (You were the best but you were the worst) (As sick as it sounds, I loved you first) I wanna speak in code (I was a dick, it is what it is) (A habit to kick, the age-old curse) Hope that I don't, won't make it about me (I tend to laugh whenever I'm sad) (I stare at the crash, it actually works) I love you, I'm sorry"
"28","Million Dollar Baby","Tommy Richman","  Do it, baby, do what I should think Do it, do it, baby, do what I could think Do it, do it, baby, do what I should think Do it, do it, baby, do what I could think Do it, do it, do it, baby, do what I should think Do it, baby, do what I could think Do it, do it, do it, baby, do what I should think Do it, do it, baby, do what I could think    I ain't never rep a set, baby (Tsk, tsk) I ain't do no wrong I could clean up good for you Oh, I know right from wrong 'Cause I wanna make it so badly I'm a million-dollar baby, don't at me Yeah, oh, hell no (Yeah, yeah)    You rep my city for so damn long (Ah, ah) But you still don't notice me, my sound next VA next (Yeah, yeah), I'm at they neck (Yeah, yeah) I'm running up a check (Yeah, yeah, yeah, yeah) She a bad lil' mama, she a diva No matter what happens, he cannot come between us again I know we're better than friends (Better than friends) I took her to Queen's Gambit (Yeah, yeah), showed around my friends Tried to pick some energy up, it don't matter I know you haven't moved on if you tried (Oh, no) I don't believe it, baby, I know you lied (Oh, no) All night long, what you mean I changed? Haven't stayed the same I've been losing my mind (Ooh) I said the city is mine (Ooh)   I ain't never rep a set, baby Ain't do no wrong I could clean up good for you Oh, I know right from wrong 'Cause I wanna make it so badly I'm a million-dollar baby, don't at me I ain't never rep a set, baby Ain't do no wrong I could clean up good for you Oh, I know right from wrong 'Cause I wanna make it so badly I'm a million-dollar baby, don't at me (No, no, no)    Hell, hell nah Yeah, hell, hell no Hell, hell no Do it, baby, do what I should think Do it, do it, baby, do what I could think Do it, baby, do what I should think Do it, do it, baby, do what I could think Hell, hell nah Yeah, hell, hell nah Hell, hell nah"
"29","High Road","Zach Bryan","  Adderall and white-lace bras that makes you fall in love You left your blue jeans in my pickup truck New York this time of year ain't good for me ’Cause all my friends lack self-control and empathy All the boys are crawlin' in some shithole in the wall again I missed this place more than I missed my home Everyone is tellin' me that I need help or therapy But all I need is to be left alone    She’s bound to come back and haunt you forever There's ghosts in the windows and walls I'vе waited by the telеphone all fuckin' night For someone that ain't ever gonna call    Remember tellin' me I was gonna hit the big time You died, guess you told God it was true Remember sittin' on your porch, you talked about your old regrets In Tulsa while the bad things took your brain It seems the quiet dreams have gotten much too heavy But I'm home now and I’ll hold you through the pain    She’s bound to come back and haunt you forever There's ghosts in the windows and walls I’ve waited by the telephone all fuckin' night For someone that ain't ever gonna call      She's bound to come back and haunt you forever There’s ghosts in the windows and walls I'm waitin' by the telephone all fuckin' night Someone that ain't ever gonna call    Adderall and white-lace bras that'll makes you fall in love You left your blue jeans in my pickup truck New York this time of year ain't good for me 'Cause all my friends lack self-control and empathy"
"30","Bed Chem","Sabrina Carpenter","  I was in a sheer dress the day that we met We were both in a rush, we talked for a sec Your friend hit me up so we could connect And what are the odds? You send me a text And now the next thing I know, I'm like Manifest that you're oversized I digress, got me scrollin' like Out of breath, got me goin' like    Ooh (Ah) Who's the cute boy with the white jacket and the thick accent? Like Ooh (Ah) Maybe it's all in my head    But I bеt we'd have really good bеd chem How you pick me up, pull 'em down, turn me 'round Oh, it just makes sense How you talk so sweet when you're doin' bad things That's bed (Bed) chem (Chem) How you're lookin' at me, yeah, I know what that means And I'm obsessed Are you free next week? I bet we'd have really good   Come right on me, I mean camaraderie Said you're not in my time zone, but you wanna be Where art thou? Why not uponeth me? See it in my mind, let's fulfill the prophecy    Ooh (Ah) Who's the cute guy with the wide, blue eyes and the big bad mm? Like Ooh (Ah) I know I sound a bit redundant    But I bet we'd have really good bed chem How you pick me up, pull 'em down, turn me 'round Oh, it just makes sense (Oh, it just makes sense) How you talk so sweet when you're doin' bad things (Bad) That's bed chem (Oh, that's bed chem) How you're lookin' at me, yeah, I know what that means And I'm obsessed (So obsessed) Are you free next week? I bet we'd have really good (Bed chem)    And I bet we'd both arrive at the same time (Bed chem) And I bet the thermostat's set at six-nine (Bed-bed ch-chem) And I bet it's even better than in my head (My)   How you pick me up, pull 'em down, turn me 'round (Ooh) Oh, it just makes sense (Oh, it just makes sense) How you talk so sweet when you're doin' bad things That's bed chem (Oh, that's bed chem) How you're lookin' at me, yeah, I know what that means And I'm obsessed (So obsessed) Are you free next week? (Are you free next week?) I bet we'd have really good    Ha (Make me go), ha No-no-no Ha (Make me go), ha No-no-no, no, oh no, oh Ha (Make me go), ha (Yeah, yeah) No-no-no, oh Ha (Make me go), ha Ooh, oh, baby (A little fade-out?)"
"31","The Door","Teddy Swims","  I took a page out of your favorite book You sold me lies just by the way you look Taught me a language that I've never speak Baby, that ain't for me, that, that ain't for me I dug my grave watchin' the way you move You took me higher than I ever flew, ooh Too many times, gave you a second chance Baby, I'm just a man, I'm, I'm just a man    No more thinkin' about you late night No more runnin' around with your friends now Done pickin' up pieces of my Soul up off the floor, oh, oh    I said I would die for you, baby But I can't take this pain no more I thought I was willin' But tonight I saved my life when I showed you the door I don't wanna lose you, baby But I can't play this gamе no more I thought it would kill me But tonight I saved my lifе when I showed you the door   You never thought this day would ever come But I looked you in the eyes and pulled the rug You tried to take away my sanity Baby, that ain't for me, that, that ain't for me    Oh, no more thinkin' about you late night No more runnin' around with your friends now Done pickin' up pieces of my Soul up out the floor, oh, oh    I said I would die for you, baby But I can't take this pain no more I thought I was willin' But tonight I saved my life when I showed you the door I don't wanna lose you, baby But I can't take this game no more I thought it would kill me But tonight I saved my life when I showed you the door    When I showed you the door When I showed you the door But tonight I saved my life   I said I would die for you, baby But I can't take this pain no more I thought I was willin' But tonight I saved my life when I showed you the door I don't wanna lose you, baby (I don't wanna lose you, baby) But I can't take this game no more (No more) I thought it would kill me (I thought it would kill me) But tonight I saved my life when I showed you the door    Mm-mm-mm Woah, oh, oh"
"32","Miles On It","Marshmello & Kane Brown","  New truck, big lift Old roads, we've been Tearin' up since way back when But these wheels are innocent New hitch, new seats, no history And you just can't fake that So, let's change that    Girl, let's go put some miles on it Back of the Chevy with the engine runnin' Just you and me in a truck bed wide like a California King We could break it in if you know what I mean Put some miles on it Back of the Chevy with the engine runnin' Just you and me in a truck bed wide like a California King Wе could break it in if you know what I mean Put some milеs on it We could break it in if you know what I mean    All night, no brakes All tail, no gate Ain't gotta try too hard My baby's push to start All torque, full speed Off-road, on me Zero to a hundred fast My foot ain't touch the gas I said, ""Hey, baby, slow it down, let's make it last"" You said, ""Where's the fun in that?""   Yeah, let's go, put some miles on it Back of the Chevy with the engine runnin' Just you and me in a truck bed wide like a California King We could break it in if you know what I mean Put some miles on it We could break it in if you know what I mean Put some miles on it We could break it in if you know what I mean    Mile after mile after mile after mile Turn up the night like that radio dial Shoulder to shoulder where nobody knows Know where we're goin', we ain't goin' home    We're puttin' miles on it Back of the Chevy with the engine runnin' Just you and me in a truck bed wide like a California King We could break it in if you know what I mean Put some miles on it Back of the Chevy with the engine runnin' Just you and me in a truck bed wide like a California King We could break it in if you know what I mean Put some miles on it We could break it in if you know what I mean Put some miles on it We could break it in if you know what I mean Put some miles on it"
"33","Pink Skies","Zach Bryan","  The kids are in town for a funeral So pack the car and dry your eyes I know they got plenty of young blood left in 'em And plenty nights under pink skies you taught 'em to enjoy    So clean the house, clear the drawers, mop the floors, stand tall Like no one's ever been here before or at all And don't you mention all the inches that are scraped on the doorframe We all know you tiptoed up to 4'1"" back in '08    If you could see 'em now, you'd be proud But you'd think they's yuppiеs Your funeral was beautiful I bet God hеard you comin'    The kids are in town for a funeral And the grass all smells the same as the day you broke your arm swingin' On that kid out on the river You bailed him out, never said a thing about Jesus or the way he's livin'    If you could see 'em now, you'd be proud But you'd think they's yuppies Your funeral was beautiful I bet God heard you comin'   (Strum it)    If you could see 'em now, you'd be proud But you'd think they's yuppies Your funeral was beautiful I bet God heard you comin'    The kids are in town for a funeral So pack the car and dry your eyes I know they got plenty of young blood left in 'em And plenty nights under pink skies you taught 'em to enjoy"
"34","High Road","Koe Wetzel & Jessie Murph","  I can tell that you're mad And I ain't half surprised about that Since the day that we met It's always who cuts first and never who bleeds last Rumors always turn into yelling and fighting And once it's in your mind, only one way you're driving    I know, I know I'ma take the high road, maybe get stoned Have a little too much of something terrible I'ma let you cool down while I walk out You ain't messing me up like the times before I don't need a ticket to your shit show Knock yourself out and hit a new low Well I'ma take the high road, take the high road, take the high road    You don't wanna talk about it, boy, that's no surprisе You come home smelling likе liquor like every other night If I catch you with her, you gon' catch me with him You think I don't hear about it, you better think again You know that rumors always turn into yelling and fighting And once it's in my mind, only one way I'm driving   You know, I know I'ma take the high road, maybe get stoned Have a little too much of something terrible I'ma let you cool down while I walk out You ain't messing me up like the times before I don't need a ticket to your shit show Knock yourself out and hit a new low Well I'ma take the high road, take the high road, take the high road Whoa, whoa       I'ma take the high road, maybe get stoned Have a little too much of something terrible I'ma let you cool down while I walk out You ain't messing me up like the times before And I don't need a ticket to your shit show Knock yourself out and hit a new low Well I'ma take the high road, take the high road, take the high road I'ma take the high road, take the high road, take the high road Oh, yeah, yeah, mm"
"35","You Look Like You Love Me","Ella Langley Featuring Riley Green","  I was all but twenty-two, I think at the time I'd been out on the road lonely at night And it'd been a while, huh, so it was on my mind Well, I saw him walk in with his cowboy hat And I thought to myself, ""I could use some of that"" His boots like glass on a sawdust floor, huh Had moves like nothin' I'd ever seen before So I walked right up, and I pulled him to the side I handed that man a beer and looked him in the eyes And I said, ""Baby, I think you're gonna wanna hear this"" Then I told him    ""Excuse me You look like you love me You look like you want me to want you to come on home And, baby, I don't blame you For lookin' me up and down across this room I'm drunk and I'm ready to leave And you look like you love me""    Well, I was down at a local beer joint with a few of the guys When this cute little country girl caught my eye And, boy, let me tell you She was the prettiest thing I'd ever seen in a pair of boots Well, she walked right up to me, handed me a beer Gave me a look like, ""Let's get outta here"" And that's when I realized that she was every cowboy's dream come true She told me this right here She said   ""Excuse me You look like you love me You look like you want me to want you to come on home And, baby, I don't blame you For lookin' me up and down across this room I'm drunk and I'm ready to leave And you look like you love me"" Alright, now       So if you ever see a man in a cowboy hat And you think to yourself, ""I could use some of that"" Don't waste your time Just give him this here line Goes a little like this    ""Excuse me You look like you love me You look like you want me to want you to come on home And, baby, I don't blame you For lookin' me up and down across this room I'm drunk and I'm ready to leave And you look like you love me I'm drunk and I'm ready to leave And you look like you love me"""
"36","TGIF","GloRilla","  GloRilla On the gang, gang Huh, uh, uh, uh (Chaii's hard) Ayy    It's 7 p.m. Friday (Yup) It's ninety-five degrees (Woo) I ain't got no nigga and no nigga ain't got me (Let's go) I'm 'bout to show my ass (Baow) These niggas love a freak (Uh) How the fuck is that your man (Huh?) If he right here with me? (The fuck? Ayy)    Turnt up with my niggas (Ayy) Turnt up with my bitches (Ayy) Turnt up at my shows, yeah Cuzzo got that blicky (Ayy) Sixty thousand fans came to see me do my dance (Huh) Got a million and one haters, and they all can kiss my ass (Mwah)    Turnt up with my niggas (Ayy) Turnt up with my bitches (Ayy) Turnt up at my shows, yeah Cuzzo right here with me (Ayy, cuh) Off a fifth of Hen', yeah, gettin' fucked up with my twin Got a Backwood full of 'Za and a bankroll full of bands All that, all that Twitter typin', bitches see me and ain't do nothin' (Weak ass) Crop top with some bikers shorts, I'm showin' off my moose knuckle (Woo) I'm feelin' good today (Yeah) I'm outsidе with your bae (Uh-huh) Got a brown-skin nigga with dreads (Okay) And a black-ass nigga with waves (Lеt's go, ayy) He gon' drop that neck (Ayy) He love the way I sex (Ayy) Fake nails, bitches pressed (Ayy) So high, I'm damn-near wrecked (Ayy) I keep this pussy fresh (Ayy) Yeezy shirt, I'm wet (Ayy) Who want smoke? Say what? (Ayy) Ho, get that off your chest (The fuck?)   Turnt up with my niggas (Ayy) Turnt up with my bitches (Ayy) Turnt up at my shows, yeah Cuzzo got that blicky (Ayy) Sixty thousand fans came to see me do my dance (Huh) Got a million and one haters, and they all can kiss my ass (Mwah)    It's 7 p.m. Friday (Yup) It's ninety-five degrees (Woo) I ain't got no nigga, and no nigga ain't got me (Let's go) I'm 'bout to show my ass (Baow) These niggas love a freak (Huh?) How the fuck is that your man (Huh?) If he right here with me? (Eww)    Friday night, hot as hell, and you know the hoes out (Where they at?) Mani-pedi, fresh set, and I got my toes out (Pff) I'm rockin' Off-White (Hey) on an off night (Uh-huh) These bitches with me pretty (Yeah), and they all can fight, yeah (Ayy) Fuck you mean? Forty inches, six-thirteen (Hey) I'm lookin' fine as hell (Woah), I'm tryna be seen (Duh) I'm finna wreck the scene (Huh), I'm off the 17' (Hey) Turnt up with my nigga 'nem, watch me do my, ah, ah   Turnt up with my niggas (Ayy) Turnt up with my bitches (Ayy) Turnt up at my shows, yeah Cuzzo got that blick (Ayy) Sixty thousand fans came to see me do my dance (Huh) Got a million and one haters, and they all can kiss my ass (Mwah)    It's 7 p.m. Friday (Yup) It's ninety-five degrees (Woo) I ain't got no nigga, and no nigga ain't got me (Let's go) I'm 'bout to show my ass (Baow) These niggas love a freak (Eww) How the fuck is that your man (Huh?) If he right here with me?    Ew, ew, ew, ew Ew, ew"
"37","Cowgirls","Morgan Wallen Featuring ERNEST","  She'll set the field on fire just cuttin' across a pasture She'll have you fallin' for it all and then leave right after And she got a cold heart but she got a warm smile Cut from the same cloth, she kinda buck wild Little bit angel, whole lotta outlaw She's trouble but I'll tell you right now, y'all    Long live cowgirls Never gonna settle on down girls Leave you in a lonely ghost town world Where the sun don't rise, rodeo for one night Love you like a mustang One hand on thеm giddy-up reins Hole in your heart with somе good aim On a goodbye ride but it's fine 'cause it's kinda my thing Long live cowgirls Yeah, long live cowgirls    I hate that I love the way them kisses taste like whiskey How they wake up, take on off, and not even miss me Leave this heart broken, holdin' that smokin' gun I guess that's just the way them wild horses run Let 'em run   Long live cowgirls Never gonna settle on down girls Leave you in a lonely ghost town world Where the sun don't rise, rodeo for one night Love you like a mustang One hand on them giddy-up reins Hole in your heart with some good aim On a goodbye ride but it's fine 'cause it's kinda my thing Long live cowgirls Yeah, long live cowgirls    Come on, cowgirls Don't you wanna take me away? Lay me on down, girl With the wild kind of lovin' you make For God's sake    Long live cowgirls Never gonna settle on down girls Leave you in a lonely ghost town world Where the sun don't rise, rodeo for one night Love you like a mustang One hand on them giddy-up reins Hole in your heart with some good aim On a goodbye ride but it's fine 'cause it's kinda my thing Long live cowgirls Yeah, long live cowgirls   Long live cowgirls Yeah, long live cowgirls"
"38","Last Christmas","Wham!",NA
"39","Ain't No Love In Oklahoma","Luke Combs","  I keep chasing that same old devil Down the same old dead-end highway Riding that storm running through my veins Like a shot down tailspun airplane Scared of nothing and I'm scared to death I can't breathe and I catch my breath But I keep chasing that same old devil Down the same old dead-end highway    Ain't no love in Oklahoma Just the whistle of a long black train You'll know when it's coming for ya Riding in on the wind and rain    I got saved in the same Red River The same Red River tryna drown me It ain't knocking me down, I'm standing my ground With the whole world falling all around me I keep running, but I'm standing still Pray for peace, but I need thе thrill So I keep chasing that same old devil Down the samе old dead-end highway   Ain't no love in Oklahoma Just the whistle of a long black train You'll know when it's coming for ya Riding in on the wind and rain    Ain't no love in Oklahoma Just the whistle of a long black train You'll know when it's coming for ya Riding in on the wind and rain Ain't no love in Oklahoma Just the whistle of a long black train You'll know when it's coming for ya Riding in on the wind and rain"
"40","Wind Up Missin' You","Tucker Wetmore","  I know I might look like Another ball cap on a bar stool Underneath a PBR light Sayin' everything under the moon To get you into my arms tonight You probably heard it all a thousand times But it ain't what it looks like Girl, let me tell you what it looks like    You look like waves on a sunset And you can crash on me all night You look like wine in a truck bed A little what I'm doin' for the rest of my life 'cause You look like I'm done lookin' But girl the hard truth is If this night don't turn into two You look like I'm gonna wind up missin' you    I gotta tell you, baby, I've been The kind of boy your daddy never wanted You to go and fall in love with The kinda boys you're probably done with their dumb shit, yeah I bet you heard the stories and Can't say I'm proud of that, but I've turned the page on the old me And now I ain't lookin' back 'cause   You look like waves on a sunset And you can crash on me all night And you look like wine in a truck bed A little what I'm doin' for the rest of my life 'cause You look like I'm done lookin' But girl the hard truth is If this night don't turn into two You look like I'm gonna wind up missin'    Missin' you in the mornin' Probably for the next few years When I look back on it I'll still see you right here    You look like waves on a sunset And you can crash on me all night And you look like wine in a truck bed A little what I'm doin' for the rest of my life 'cause You look like I'm done lookin' But girl the hard truth is If this night don't turn into two You look like I'm gonna wind up missin' you   Wind up missin' you Wind up missin' you"
"41","I Can Do It With A Broken Heart","Taylor Swift","  I can read your mind ""She's having the time of her life"" There in her glittering prime The lights refract sequin stars off her silhouette every night I can show you lies (One, two, three, four)    'Cause I'm a real tough kid I can handle my shit They said, ""Babe, you gotta fake it 'til you make it"" and I did Lights, camera, bitch, smile Even when you wanna die He said he'd love me all his life But that life was too short Breaking down, I hit the floor All the piеces of me shatterеd as the crowd was chanting, ""More"" I was grinnin' like I'm winnin' I was hittin' my marks 'Cause I can do it with a broken heart (One, two, three, four)    I'm so depressed, I act like it's my birthday every day I'm so obsessed with him, but he avoids me like the plague I cry a lot, but I am so productive, it's an art You know you're good when you can even do it with a broken heart   I can hold my breath I've been doin' it since he left I keep finding his things in drawers Crucial evidence I didn't imagine the whole thing I'm sure I can pass this test (One, two, three, four)    'Cause I'm a real tough kid I can handle my shit They said, ""Babe, you gotta fake it 'til you make it"" and I did Lights, camera, bitch, smile In stilettos for miles He said he'd love me for all time But that time was quite short Breaking down, I hit the floor All the pieces of me shattered as the crowd was chanting, ""More"" I was grinnin' like I'm winnin' I was hittin' my marks 'Cause I can do it with a broken heart (One, two, three, four)    I'm so depressed, I act like it's my birthday every day I'm so obsessed with him, but he avoids me (He avoids me), like the plague I cry a lot, but I am so productive, it's an art You know you're good when you can even do it with a broken heart   You know you're good when you can even do it with a broken heart You know you're good And I'm good 'Cause I'm miserable (Haha) And nobody even knows Ah, try and come for my job"
